Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1989-1990,0,0,0,2.8,4.6,16.1,6.4,16.9,7,2.8,T,0,56.6
1990-1991,0,0,0,0,0.2,17.3,11.8,12.8,0.6,0.1,0,0,42.8
1991-1992,0,0,0,T,2.1,11.9,22.1,3.4,14,1.9,0,0,55.4
1992-1993,0,0,0,1.2,1.7,7.2,15.6,20.6,18.8,8.7,0,0,73.8
1993-1994,0,0,0,0.6,2,6.8,23,17.2,5,4.1,T,0,58.7
1994-1995,0,0,T,T,0.2,11.6,24.2,10.8,4.3,3.2,0,0,54.3
1995-1996,0,0,0,0,4.7,10.6,11,8.4,15.2,1,T,0,50.9
1996-1997,0,0,T,0,8.8,15.9,25,9,8.4,0.5,T,0,67.6
1997-1998,T,0,0,0.8,8.1,13.5,10.7,0.4,12.5,0,0,T,46
1998-1999,0,0,0,0,0.3,2.6,36,11.2,17.5,T,0,0,67.6
1999-2000,0,0,0,0,T,10.9,16.1,12.8,0.7,2.5,0,0,43
2000-2001,0,0,0,T,4.3,40.5,6.7,6.2,11.2,2.7,0,0,71.6
2001-2002,0,0,0,0.1,T,8.8,25.4,10.8,6.3,0.5,0,0,51.9
2002-2003,0,0,0,T,4.1,12.6,13.8,20.6,9.7,5,T,0,65.8
2003-2004,0,T,0,T,1.4,7.2,23.4,4.8,9.9,0.9,T,0,47.6
2004-2005,0,0,0,0,2.9,16.3,29.1,14.4,14.7,6.5,0.1,T,84
2005-2006,T,0,0,0,7.8,24.4,8.4,8.7,1.8,T,0,0,51.1
2006-2007,0,0,0,0.5,1.6,4.3,10.3,15.2,10.1,3.9,0,0,45.9
2007-2008,0,0,0,0,3.2,15.5,22.7,26.9,21.5,0.7,0,0,90.5
2008-2009,0,0,0,T,8.7,25,27,11.2,0.6,6.8,0,0,79.3
2009-2010,0,0,0,0,0.2,12.2,10.5,33.1,T,T,0,0,56
2010-2011,0,0,0,0,T,10.6,20.8,28.8,6.5,2.5,M,M,M
2011-2012,M,M,M,M,3.8,9.5,13.9,10.7,1.8,0.4,M,M,M
2012-2013,M,M,M,M,0.8,12.2,15.6,29.9,6.6,1.2,M,M,M
2013-2014,M,M,M,0.2,3,17.5,37.8,23.7,10.5,4.4,M,M,M
2014-2015,M,M,M,M,6.6,0.9,15.6,25.2,3.2,0.3,M,M,M
